"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"name";"message";"created_time";"comments";"from";"id";"from.name";"from.id";"status_type";"shares.count";"comments.data";"comments.paging.cursors.before";"comments.paging.cursors.after";"paging.cursors.before";"paging.cursors.after";"paging.next";"paging.previous";"like_count";"comment_count";"summary.total_count";"summary.viewer_reaction"
"0";"1";"None";"319662435565899";"seed";"";"";"None";"None";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"2";"1";"319662435565899_1123652965166838";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🚨¿Mi pana sacate la Visa de Residente con el PPT?🚨 ¡Nani te cuenta qué hacer!🔊Activa el sonido y si tienes más dudas, ¡Escríbenos por WhatsApp! Acá te dejamos el link👉🏽 https://wa.link/26w9o7 y ruuuuuueda la voz compartiendo esta publicación con otros panas.";"2022-07-29T20:32:11+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1123652965166838";"Voices of Venezuela";"319662435565899";"mobile_status_update";"88";"";"";"";"";"";"";"";"";"";"";""
"1";"3";"1";"319662435565899_1121889992009802";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🚨¡Un en vivo que no te puedes perder!🚨  👀 Nani te espera este jueves 28-07-2022 con unos datazos buenísimos y si tienes alguna duda con cualquier tema, déjasela en los comentarios, con gusto te estará respondiendo en la transmisión😎  💪Y ruuuuueda la voz con tu pana, compatiendo esta publicación o etiquetándolo en los comentarios👇";"2022-07-26T22:43:51+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1121889992009802";"Voices of Venezuela";"319662435565899";"added_photos";"12";"";"";"";"";"";"";"";"";"";"";""
"1";"4";"1";"319662435565899_1121295158735952";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"💭 Sabías que… ¿Al estar afiliad@ al SISBÉN tienes beneficios? 👀  ✅ Sí, así como lo lees mi panas, en este sistema se conocen las condiciones socioeconómicas de los hogares y según cada puntaje se encuentran habilitados distintos programas que los benefician🤝  👇 Entérate de algunos de estos en el siguiente video y si tienes más dudas, 📲¡Escríbenos por WhatsApp! Acá te dejamos el link 👉 https://wa.link/26w9o7";"2022-07-25T22:58:21+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1121295158735952";"Voices of Venezuela";"319662435565899";"added_video";"20";"";"";"";"";"";"";"";"";"";"";""
"1";"5";"1";"319662435565899_1120647498800718";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🙌 ¡No pongas en riesgo tu vida! 🙌  📢 Desde Voices Of Venezuela entendemos las razones que nos conllevan a migrar hacía otro país, la mayoría de nuestro equipo se encuentra conformado por migrantes, pero el paso por caminos irregulares pone en riesgo tu vida y la de tus familiares👥  😶 Miles de personas mueren, desaparecen o son torturados en la Selva de Darien, los testimonios de quienes han podido vivir para contar lo que pasa en ese lugar son una historia de terror. No seas parte de la cifra de personas que pasan por estas situaciones ❗  🙌 ¡Creemos conciencia sobre este tema! Compartiendo esta publicación podrías estar ayudando a que alguien no acuda a esos pasos🛤️";"2022-07-24T21:06:46+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1120647498800718";"Voices of Venezuela";"319662435565899";"added_photos";"24";"";"";"";"";"";"";"";"";"";"";""
"1";"6";"1";"319662435565899_1119963745535760";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🤔¿Tienes datos erróneos en el PPT? ¡Nani te cuenta qué hacer! 😎  🔊Activa el sonido y si tienes más dudas, 📲 ¡Escríbenos por WhatsApp! Acá te dejamos el link 👉  https://wa.link/26w9o7 y ruuuuuueda la voz compartiendo esta publicación con otros panas.";"2022-07-23T22:19:28+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1119963745535760";"Voices of Venezuela";"319662435565899";"added_video";"46";"";"";"";"";"";"";"";"";"";"";""
"1";"7";"1";"319662435565899_1119328422265959";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🙌¡Tú también tienes derecho a decidir! 🙌  👉 Sin importar la nacionalidad, las mujeres que viven en Colombia pueden abortar🤝  📢 ¡Comparte esta información! Puedes ayudar a una amiga que lo necesite. #TuAliadoParaInformarte";"2022-07-22T21:52:18+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1119328422265959";"Voices of Venezuela";"319662435565899";"added_video";"1";"";"";"";"";"";"";"";"";"";"";""
"1";"8";"1";"319662435565899_497316149061126";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"‼️ ¡Entérate de todo esto y más en un nuevo Nani Responde! Y ruuueda la voz compartiendo este video💪 #NaniResponde #IngresoSolidario #VenezolanosEnColombia #PPT";"2022-07-21T23:14:03+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_497316149061126";"Voices of Venezuela";"319662435565899";"added_video";"34";"";"";"";"";"";"";"";"";"";"";""
"1";"9";"1";"319662435565899_1117983535733781";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"💭 Sabías que… ¿La tarjeta profesional en Colombia es necesaria para poder ejercer tu carrera?🤔    👀 ¡Así como lo lees! Activa el audio🔊, Nani te cuenta sobre esto y si tienes más dudas, déjanoslas en los comentarios, con gusto te estaremos orientando😎  ‼️ ¡Epa! Y no te quedes con esta información, ruuueda la voz compartiendo este video con otros panas 💪";"2022-07-20T22:19:06+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1117983535733781";"Voices of Venezuela";"319662435565899";"added_video";"89";"";"";"";"";"";"";"";"";"";"";""
"1";"10";"1";"319662435565899_1117351132463688";"data";"data.*";"fetched (200)";"2022-08-03 15:01:48.773039";"Facebook:/<page-id>/posts";"";"🚨¡No te pierdas este en vivo!🚨  👀 Nani tiene unos datazos por contarte y si tienes alguna duda con cualquier tema, déjasela en los comentarios, con gusto te estará respondiendo en la transmisión😎  💪 ¡Te esperamos este jueves! Y ruuuuueda la voz con tu pana, compatiendo esta publicación o etiquetándolo en los comentarios👇";"2022-07-19T22:16:00+0000";"";"{""name"": ""Voices of Venezuela"", ""id"": ""319662435565899""}";"319662435565899_1117351132463688";"Voices of Venezuela";"319662435565899";"added_photos";"55";"";"";"";"";"";"";"";"";"";"";""
